LABEL_TYPECODE,SERIAL_NUMBER,BARCODE,NAME_LABEL,LOCATION,INSTITUTION,MANUFACTURER,PRODUCTION_DATE,VERSION,MADE-FROM-TYPECODE[0],MADE-FROM-SN[0],COMMENT_DESCRIPTION,ATTRIBUTE-NAME[0],ATTRIBUTE-VALUE[0]
IC-LPG,5A28B760,5A28B760,LPGBT DAQ 0x5A28B760,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100676,DAQ LPGBT for 320EL10E2020177,lpGBT Location LD Engine,DAQ
IC-LPG,1AA83126,1AA83126,LPGBT TRIG-E 0x1AA83126,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100680,TRIG-E LPGBT for 320EL10E2020177,lpGBT Location LD Engine,TRIG-E
IC-LPG,1AAB2A31,1AAB2A31,LPGBT TRIG-W 0x1AAB2A31,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100681,TRIG-W LPGBT for 320EL10E2020177,lpGBT Location LD Engine,TRIG-W
IC-LPG,92AB1029,92AB1029,LPGBT DAQ 0x92AB1029,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100682,DAQ LPGBT for 320EL10E2020178,lpGBT Location LD Engine,DAQ
IC-LPG,F2AEDC80,F2AEDC80,LPGBT TRIG-E 0xF2AEDC80,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100683,TRIG-E LPGBT for 320EL10E2020178,lpGBT Location LD Engine,TRIG-E
IC-LPG,72AAA078,72AAA078,LPGBT TRIG-W 0x72AAA078,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100687,TRIG-W LPGBT for 320EL10E2020178,lpGBT Location LD Engine,TRIG-W
IC-LPG,3AA9D8E1,3AA9D8E1,LPGBT DAQ 0x3AA9D8E1,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100688,DAQ LPGBT for 320EL10E2020179,lpGBT Location LD Engine,DAQ
IC-LPG,7AAB087C,7AAB087C,LPGBT TRIG-E 0x7AAB087C,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100689,TRIG-E LPGBT for 320EL10E2020179,lpGBT Location LD Engine,TRIG-E
IC-LPG,5A2B84AF,5A2B84AF,LPGBT TRIG-W 0x5A2B84AF,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100690,TRIG-W LPGBT for 320EL10E2020179,lpGBT Location LD Engine,TRIG-W
IC-LPG,5AA92247,5AA92247,LPGBT DAQ 0x5AA92247,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100691,DAQ LPGBT for 320EL10E2020181,lpGBT Location LD Engine,DAQ
IC-LPG,52AD67A4,52AD67A4,LPGBT TRIG-E 0x52AD67A4,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100692,TRIG-E LPGBT for 320EL10E2020181,lpGBT Location LD Engine,TRIG-E
IC-LPG,F22A439B,F22A439B,LPGBT TRIG-W 0xF22A439B,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100693,TRIG-W LPGBT for 320EL10E2020181,lpGBT Location LD Engine,TRIG-W
IC-LPG,BAAE68D6,BAAE68D6,LPGBT DAQ 0xBAAE68D6,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100694,DAQ LPGBT for 320EL10E2020182,lpGBT Location LD Engine,DAQ
IC-LPG,F22A0183,F22A0183,LPGBT TRIG-E 0xF22A0183,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100695,TRIG-E LPGBT for 320EL10E2020182,lpGBT Location LD Engine,TRIG-E
IC-LPG,5A2EE85F,5A2EE85F,LPGBT TRIG-W 0x5A2EE85F,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100696,TRIG-W LPGBT for 320EL10E2020182,lpGBT Location LD Engine,TRIG-W
IC-LPG,B2AC69EE,B2AC69EE,LPGBT DAQ 0xB2AC69EE,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100697,DAQ LPGBT for 320EL10E2020183,lpGBT Location LD Engine,DAQ
IC-LPG,92A87FBA,92A87FBA,LPGBT TRIG-E 0x92A87FBA,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100698,TRIG-E LPGBT for 320EL10E2020183,lpGBT Location LD Engine,TRIG-E
IC-LPG,722E6A93,722E6A93,LPGBT TRIG-W 0x722E6A93,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100699,TRIG-W LPGBT for 320EL10E2020183,lpGBT Location LD Engine,TRIG-W
IC-LPG,72A9ED93,72A9ED93,LPGBT DAQ 0x72A9ED93,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100700,DAQ LPGBT for 320EL10E2020184,lpGBT Location LD Engine,DAQ
IC-LPG,7AA89215,7AA89215,LPGBT TRIG-E 0x7AA89215,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100701,TRIG-E LPGBT for 320EL10E2020184,lpGBT Location LD Engine,TRIG-E
IC-LPG,F22A0E1A,F22A0E1A,LPGBT TRIG-W 0xF22A0E1A,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100702,TRIG-W LPGBT for 320EL10E2020184,lpGBT Location LD Engine,TRIG-W
IC-LPG,3A2D1D6C,3A2D1D6C,LPGBT DAQ 0x3A2D1D6C,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100703,DAQ LPGBT for 320EL10E2020188,lpGBT Location LD Engine,DAQ
IC-LPG,7AAD3D7C,7AAD3D7C,LPGBT TRIG-E 0x7AAD3D7C,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100704,TRIG-E LPGBT for 320EL10E2020188,lpGBT Location LD Engine,TRIG-E
IC-LPG,7A2F7F70,7A2F7F70,LPGBT TRIG-W 0x7A2F7F70,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100705,TRIG-W LPGBT for 320EL10E2020188,lpGBT Location LD Engine,TRIG-W
IC-LPG,12AFC98B,12AFC98B,LPGBT DAQ 0x12AFC98B,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100706,DAQ LPGBT for 320EL10E2020305,lpGBT Location LD Engine,DAQ
IC-LPG,B2ACA318,B2ACA318,LPGBT TRIG-E 0xB2ACA318,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100707,TRIG-E LPGBT for 320EL10E2020305,lpGBT Location LD Engine,TRIG-E
IC-LPG,1AABA719,1AABA719,LPGBT TRIG-W 0x1AABA719,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100708,TRIG-W LPGBT for 320EL10E2020305,lpGBT Location LD Engine,TRIG-W
IC-LPG,32AD5B91,32AD5B91,LPGBT DAQ 0x32AD5B91,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100709,DAQ LPGBT for 320EL10E2020306,lpGBT Location LD Engine,DAQ
IC-LPG,BA2CDF85,BA2CDF85,LPGBT TRIG-E 0xBA2CDF85,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100710,TRIG-E LPGBT for 320EL10E2020306,lpGBT Location LD Engine,TRIG-E
IC-LPG,922CC170,922CC170,LPGBT TRIG-W 0x922CC170,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100711,TRIG-W LPGBT for 320EL10E2020306,lpGBT Location LD Engine,TRIG-W
IC-LPG,B2AC1D56,B2AC1D56,LPGBT DAQ 0xB2AC1D56,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100712,DAQ LPGBT for 320EL10E2020307,lpGBT Location LD Engine,DAQ
IC-LPG,722B303C,722B303C,LPGBT TRIG-E 0x722B303C,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100713,TRIG-E LPGBT for 320EL10E2020307,lpGBT Location LD Engine,TRIG-E
IC-LPG,92ABEFD9,92ABEFD9,LPGBT TRIG-W 0x92ABEFD9,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100714,TRIG-W LPGBT for 320EL10E2020307,lpGBT Location LD Engine,TRIG-W
IC-LPG,92A849B0,92A849B0,LPGBT DAQ 0x92A849B0,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100715,DAQ LPGBT for 320EL10E2020308,lpGBT Location LD Engine,DAQ
IC-LPG,722DC6AA,722DC6AA,LPGBT TRIG-E 0x722DC6AA,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100716,TRIG-E LPGBT for 320EL10E2020308,lpGBT Location LD Engine,TRIG-E
IC-LPG,522F46C4,522F46C4,LPGBT TRIG-W 0x522F46C4,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100717,TRIG-W LPGBT for 320EL10E2020308,lpGBT Location LD Engine,TRIG-W
IC-LPG,BAAB40C7,BAAB40C7,LPGBT DAQ 0xBAAB40C7,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100718,DAQ LPGBT for 320EL10E2020309,lpGBT Location LD Engine,DAQ
IC-LPG,92AD232F,92AD232F,LPGBT TRIG-E 0x92AD232F,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100719,TRIG-E LPGBT for 320EL10E2020309,lpGBT Location LD Engine,TRIG-E
IC-LPG,9A287100,9A287100,LPGBT TRIG-W 0x9A287100,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100720,TRIG-W LPGBT for 320EL10E2020309,lpGBT Location LD Engine,TRIG-W
IC-LPG,DAAEAEDA,DAAEAEDA,LPGBT DAQ 0xDAAEAEDA,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100721,DAQ LPGBT for 320EL10E2020310,lpGBT Location LD Engine,DAQ
IC-LPG,3A2DDE5F,3A2DDE5F,LPGBT TRIG-E 0x3A2DDE5F,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100722,TRIG-E LPGBT for 320EL10E2020310,lpGBT Location LD Engine,TRIG-E
IC-LPG,DAAEF2D3,DAAEF2D3,LPGBT TRIG-W 0xDAAEF2D3,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100723,TRIG-W LPGBT for 320EL10E2020310,lpGBT Location LD Engine,TRIG-W
IC-LPG,92AB8A19,92AB8A19,LPGBT DAQ 0x92AB8A19,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100724,DAQ LPGBT for 320EL10E2020311,lpGBT Location LD Engine,DAQ
IC-LPG,122BC0CA,122BC0CA,LPGBT TRIG-E 0x122BC0CA,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100725,TRIG-E LPGBT for 320EL10E2020311,lpGBT Location LD Engine,TRIG-E
IC-LPG,92AD80D9,92AD80D9,LPGBT TRIG-W 0x92AD80D9,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100726,TRIG-W LPGBT for 320EL10E2020311,lpGBT Location LD Engine,TRIG-W
IC-LPG,7228AF6C,7228AF6C,LPGBT DAQ 0x7228AF6C,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100727,DAQ LPGBT for 320EL10E2020312,lpGBT Location LD Engine,DAQ
IC-LPG,12AF2433,12AF2433,LPGBT TRIG-E 0x12AF2433,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100728,TRIG-E LPGBT for 320EL10E2020312,lpGBT Location LD Engine,TRIG-E
IC-LPG,92AEECB9,92AEECB9,LPGBT TRIG-W 0x92AEECB9,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100729,TRIG-W LPGBT for 320EL10E2020312,lpGBT Location LD Engine,TRIG-W
IC-LPG,1A2994F2,1A2994F2,LPGBT DAQ 0x1A2994F2,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100730,DAQ LPGBT for 320EL10E2020313,lpGBT Location LD Engine,DAQ
IC-LPG,F22A2F08,F22A2F08,LPGBT TRIG-E 0xF22A2F08,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100731,TRIG-E LPGBT for 320EL10E2020313,lpGBT Location LD Engine,TRIG-E
IC-LPG,BA2A4F7A,BA2A4F7A,LPGBT TRIG-W 0xBA2A4F7A,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100732,TRIG-W LPGBT for 320EL10E2020313,lpGBT Location LD Engine,TRIG-W
IC-LPG,1A2FFB31,1A2FFB31,LPGBT DAQ 0x1A2FFB31,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100733,DAQ LPGBT for 320EL10E2020314,lpGBT Location LD Engine,DAQ
IC-LPG,12A9EB63,12A9EB63,LPGBT TRIG-E 0x12A9EB63,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100734,TRIG-E LPGBT for 320EL10E2020314,lpGBT Location LD Engine,TRIG-E
IC-LPG,B2281121,B2281121,LPGBT TRIG-W 0xB2281121,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100735,TRIG-W LPGBT for 320EL10E2020314,lpGBT Location LD Engine,TRIG-W
IC-LPG,D228E172,D228E172,LPGBT DAQ 0xD228E172,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100736,DAQ LPGBT for 320EL10E2020315,lpGBT Location LD Engine,DAQ
IC-LPG,922A6ED9,922A6ED9,LPGBT TRIG-E 0x922A6ED9,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100737,TRIG-E LPGBT for 320EL10E2020315,lpGBT Location LD Engine,TRIG-E
IC-LPG,F22C230D,F22C230D,LPGBT TRIG-W 0xF22C230D,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100738,TRIG-W LPGBT for 320EL10E2020315,lpGBT Location LD Engine,TRIG-W
IC-LPG,9A2BDB65,9A2BDB65,LPGBT DAQ 0x9A2BDB65,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100739,DAQ LPGBT for 320EL10E2020316,lpGBT Location LD Engine,DAQ
IC-LPG,1AA85BBC,1AA85BBC,LPGBT TRIG-E 0x1AA85BBC,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100740,TRIG-E LPGBT for 320EL10E2020316,lpGBT Location LD Engine,TRIG-E
IC-LPG,3A2B1199,3A2B1199,LPGBT TRIG-W 0x3A2B1199,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100741,TRIG-W LPGBT for 320EL10E2020316,lpGBT Location LD Engine,TRIG-W
IC-LPG,7AABF81A,7AABF81A,LPGBT DAQ 0x7AABF81A,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100742,DAQ LPGBT for 320EL10E2020318,lpGBT Location LD Engine,DAQ
IC-LPG,32AB3892,32AB3892,LPGBT TRIG-E 0x32AB3892,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100743,TRIG-E LPGBT for 320EL10E2020318,lpGBT Location LD Engine,TRIG-E
IC-LPG,FAAC90F5,FAAC90F5,LPGBT TRIG-W 0xFAAC90F5,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100744,TRIG-W LPGBT for 320EL10E2020318,lpGBT Location LD Engine,TRIG-W
IC-LPG,5229EF94,5229EF94,LPGBT DAQ 0x5229EF94,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100745,DAQ LPGBT for 320EL10E2020319,lpGBT Location LD Engine,DAQ
IC-LPG,3229FEEA,3229FEEA,LPGBT TRIG-E 0x3229FEEA,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100746,TRIG-E LPGBT for 320EL10E2020319,lpGBT Location LD Engine,TRIG-E
IC-LPG,52AEC462,52AEC462,LPGBT TRIG-W 0x52AEC462,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100747,TRIG-W LPGBT for 320EL10E2020319,lpGBT Location LD Engine,TRIG-W
IC-LPG,72AA42A9,72AA42A9,LPGBT DAQ 0x72AA42A9,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100748,DAQ LPGBT for 320EL10E2020320,lpGBT Location LD Engine,DAQ
IC-LPG,DA2F5E32,DA2F5E32,LPGBT TRIG-E 0xDA2F5E32,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100749,TRIG-E LPGBT for 320EL10E2020320,lpGBT Location LD Engine,TRIG-E
IC-LPG,DA2F64AD,DA2F64AD,LPGBT TRIG-W 0xDA2F64AD,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100750,TRIG-W LPGBT for 320EL10E2020320,lpGBT Location LD Engine,TRIG-W
IC-LPG,7AAE235D,7AAE235D,LPGBT DAQ 0x7AAE235D,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100751,DAQ LPGBT for 320EL10E2020321,lpGBT Location LD Engine,DAQ
IC-LPG,3AA9177B,3AA9177B,LPGBT TRIG-E 0x3AA9177B,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100752,TRIG-E LPGBT for 320EL10E2020321,lpGBT Location LD Engine,TRIG-E
IC-LPG,DA291AB3,DA291AB3,LPGBT TRIG-W 0xDA291AB3,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100753,TRIG-W LPGBT for 320EL10E2020321,lpGBT Location LD Engine,TRIG-W
IC-LPG,9AAC55FA,9AAC55FA,LPGBT DAQ 0x9AAC55FA,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100754,DAQ LPGBT for 320EL10E2020322,lpGBT Location LD Engine,DAQ
IC-LPG,DAAE83F8,DAAE83F8,LPGBT TRIG-E 0xDAAE83F8,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100755,TRIG-E LPGBT for 320EL10E2020322,lpGBT Location LD Engine,TRIG-E
IC-LPG,D2282D1B,D2282D1B,LPGBT TRIG-W 0xD2282D1B,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100756,TRIG-W LPGBT for 320EL10E2020322,lpGBT Location LD Engine,TRIG-W
IC-LPG,32AE52CE,32AE52CE,LPGBT DAQ 0x32AE52CE,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100757,DAQ LPGBT for 320EL10E2020323,lpGBT Location LD Engine,DAQ
IC-LPG,322C4CA2,322C4CA2,LPGBT TRIG-E 0x322C4CA2,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100758,TRIG-E LPGBT for 320EL10E2020323,lpGBT Location LD Engine,TRIG-E
IC-LPG,D2AAE196,D2AAE196,LPGBT TRIG-W 0xD2AAE196,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100759,TRIG-W LPGBT for 320EL10E2020323,lpGBT Location LD Engine,TRIG-W
IC-LPG,722E1B1D,722E1B1D,LPGBT DAQ 0x722E1B1D,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100760,DAQ LPGBT for 320EL10E2020324,lpGBT Location LD Engine,DAQ
IC-LPG,3AAA8B8D,3AAA8B8D,LPGBT TRIG-E 0x3AAA8B8D,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100761,TRIG-E LPGBT for 320EL10E2020324,lpGBT Location LD Engine,TRIG-E
IC-LPG,BA299EFD,BA299EFD,LPGBT TRIG-W 0xBA299EFD,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100762,TRIG-W LPGBT for 320EL10E2020324,lpGBT Location LD Engine,TRIG-W
IC-LPG,FA2D243F,FA2D243F,LPGBT DAQ 0xFA2D243F,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100763,DAQ LPGBT for 320EL10E2020325,lpGBT Location LD Engine,DAQ
IC-LPG,5A2D3021,5A2D3021,LPGBT TRIG-E 0x5A2D3021,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100764,TRIG-E LPGBT for 320EL10E2020325,lpGBT Location LD Engine,TRIG-E
IC-LPG,52A8DAD0,52A8DAD0,LPGBT TRIG-W 0x52A8DAD0,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100765,TRIG-W LPGBT for 320EL10E2020325,lpGBT Location LD Engine,TRIG-W
IC-LPG,722B36AC,722B36AC,LPGBT DAQ 0x722B36AC,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100766,DAQ LPGBT for 320EL10E2020326,lpGBT Location LD Engine,DAQ
IC-LPG,1A295757,1A295757,LPGBT TRIG-E 0x1A295757,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100767,TRIG-E LPGBT for 320EL10E2020326,lpGBT Location LD Engine,TRIG-E
IC-LPG,FAA95509,FAA95509,LPGBT TRIG-W 0xFAA95509,UMN,UMN,TSMC,2025-05-13,2,IC-LPS,2100768,TRIG-W LPGBT for 320EL10E2020326,lpGBT Location LD Engine,TRIG-W
