Test ID,Phase,Channel,Bit Errors
84,0,0,0
84,0,1,0
84,0,2,0
84,0,3,0
84,0,4,0
84,0,5,0
84,0,6,0
84,1,0,0
84,1,1,0
84,1,2,0
84,1,3,0
84,1,4,0
84,1,5,0
84,1,6,0
84,2,0,0
84,2,1,0
84,2,2,0
84,2,3,0
84,2,4,0
84,2,5,0
84,2,6,0
84,3,0,0
84,3,1,0
84,3,2,0
84,3,3,0
84,3,4,0
84,3,5,0
84,3,6,0
91,0,0,0
91,0,1,0
91,0,2,0
91,0,3,0
91,0,4,0
91,0,5,0
91,0,6,0
91,1,0,0
91,1,1,0
91,1,2,0
91,1,3,0
91,1,4,0
91,1,5,0
91,1,6,0
91,2,0,0
91,2,1,0
91,2,2,0
91,2,3,0
91,2,4,0
91,2,5,0
91,2,6,0
91,3,0,0
91,3,1,0
91,3,2,0
91,3,3,0
91,3,4,0
91,3,5,0
91,3,6,0
99,0,0,0
99,0,1,0
99,0,2,0
99,0,3,0
99,0,4,0
99,0,5,0
99,0,6,0
99,1,0,0
99,1,1,0
99,1,2,0
99,1,3,0
99,1,4,0
99,1,5,0
99,1,6,0
99,2,0,0
99,2,1,0
99,2,2,0
99,2,3,0
99,2,4,0
99,2,5,0
99,2,6,0
99,3,0,0
99,3,1,0
99,3,2,0
99,3,3,0
99,3,4,0
99,3,5,0
99,3,6,0
107,0,0,0
107,0,1,0
107,0,2,0
107,0,3,0
107,0,4,0
107,0,5,0
107,0,6,0
107,1,0,0
107,1,1,0
107,1,2,0
107,1,3,0
107,1,4,0
107,1,5,0
107,1,6,0
107,2,0,0
107,2,1,0
107,2,2,0
107,2,3,0
107,2,4,0
107,2,5,0
107,2,6,0
107,3,0,0
107,3,1,0
107,3,2,0
107,3,3,0
107,3,4,0
107,3,5,0
107,3,6,0
122,0,0,0
122,0,1,0
122,0,2,0
122,0,3,0
122,0,4,0
122,0,5,0
122,0,6,0
122,1,0,0
122,1,1,0
122,1,2,0
122,1,3,0
122,1,4,0
122,1,5,0
122,1,6,0
122,2,0,0
122,2,1,0
122,2,2,0
122,2,3,0
122,2,4,0
122,2,5,0
122,2,6,0
122,3,0,0
122,3,1,0
122,3,2,0
122,3,3,0
122,3,4,0
122,3,5,0
122,3,6,0
126,0,0,0
126,0,1,0
126,0,2,0
126,0,3,121634735
126,0,4,0
126,0,5,0
126,0,6,0
126,1,0,0
126,1,1,0
126,1,2,0
126,1,3,108567078
126,1,4,0
126,1,5,0
126,1,6,0
126,2,0,0
126,2,1,0
126,2,2,0
126,2,3,89972632
126,2,4,0
126,2,5,0
126,2,6,0
126,3,0,0
126,3,1,0
126,3,2,0
126,3,3,73881582
126,3,4,0
126,3,5,0
126,3,6,0
143,0,0,0
143,0,1,0
143,0,2,0
143,0,3,115892034
143,0,4,0
143,0,5,0
143,0,6,0
143,1,0,0
143,1,1,0
143,1,2,0
143,1,3,104550928
143,1,4,0
143,1,5,0
143,1,6,0
143,2,0,0
143,2,1,0
143,2,2,0
143,2,3,85361089
143,2,4,0
143,2,5,0
143,2,6,0
143,3,0,0
143,3,1,0
143,3,2,0
143,3,3,70453108
143,3,4,0
143,3,5,0
143,3,6,0
153,0,0,0
153,0,1,0
153,0,2,0
153,0,3,0
153,0,4,0
153,0,5,0
153,0,6,0
153,1,0,0
153,1,1,0
153,1,2,0
153,1,3,0
153,1,4,0
153,1,5,0
153,1,6,0
153,2,0,0
153,2,1,0
153,2,2,0
153,2,3,0
153,2,4,0
153,2,5,0
153,2,6,0
153,3,0,0
153,3,1,0
153,3,2,0
153,3,3,0
153,3,4,0
153,3,5,0
153,3,6,0
163,0,0,141143771
163,0,1,0
163,0,2,0
163,0,3,0
163,0,4,0
163,0,5,0
163,0,6,0
163,1,0,130282875
163,1,1,0
163,1,2,0
163,1,3,0
163,1,4,0
163,1,5,0
163,1,6,0
163,2,0,113823745
163,2,1,0
163,2,2,0
163,2,3,0
163,2,4,0
163,2,5,0
163,2,6,0
163,3,0,95385736
163,3,1,0
163,3,2,0
163,3,3,0
163,3,4,0
163,3,5,0
163,3,6,0
184,0,0,0
184,0,1,0
184,0,2,0
184,0,3,0
184,0,4,0
184,0,5,0
184,0,6,0
184,1,0,0
184,1,1,0
184,1,2,0
184,1,3,0
184,1,4,0
184,1,5,0
184,1,6,0
184,2,0,0
184,2,1,0
184,2,2,0
184,2,3,0
184,2,4,0
184,2,5,0
184,2,6,0
184,3,0,0
184,3,1,0
184,3,2,0
184,3,3,0
184,3,4,0
184,3,5,0
184,3,6,0
195,0,0,57014918
195,0,1,0
195,0,2,0
195,0,3,0
195,0,4,0
195,0,5,0
195,0,6,0
195,1,0,66902121
195,1,1,0
195,1,2,0
195,1,3,0
195,1,4,0
195,1,5,0
195,1,6,0
195,2,0,147063715
195,2,1,0
195,2,2,0
195,2,3,0
195,2,4,0
195,2,5,0
195,2,6,0
195,3,0,94268962
195,3,1,0
195,3,2,0
195,3,3,0
195,3,4,0
195,3,5,0
195,3,6,0
210,0,0,0
210,0,1,0
210,0,2,141702980
210,0,3,0
210,0,4,0
210,0,5,43206
210,0,6,0
210,1,0,0
210,1,1,0
210,1,2,145957663
210,1,3,0
210,1,4,0
210,1,5,130848
210,1,6,0
210,2,0,0
210,2,1,0
210,2,2,151387478
210,2,3,0
210,2,4,0
210,2,5,403179
210,2,6,0
210,3,0,0
210,3,1,0
210,3,2,155419064
210,3,3,0
210,3,4,0
210,3,5,1023987
210,3,6,0
240,0,0,0
240,0,1,0
240,0,2,0
240,0,3,0
240,0,4,0
240,0,5,0
240,0,6,20287069
240,1,0,0
240,1,1,0
240,1,2,0
240,1,3,0
240,1,4,0
240,1,5,0
240,1,6,11497135
240,2,0,0
240,2,1,0
240,2,2,0
240,2,3,0
240,2,4,0
240,2,5,0
240,2,6,5856166
240,3,0,0
240,3,1,0
240,3,2,0
240,3,3,0
240,3,4,0
240,3,5,0
240,3,6,2861608
242,0,0,0
242,0,1,0
242,0,2,0
242,0,3,0
242,0,4,0
242,0,5,0
242,0,6,6168559
242,1,0,0
242,1,1,0
242,1,2,0
242,1,3,0
242,1,4,0
242,1,5,0
242,1,6,3154941
242,2,0,0
242,2,1,0
242,2,2,0
242,2,3,0
242,2,4,0
242,2,5,0
242,2,6,1081311
242,3,0,0
242,3,1,0
242,3,2,0
242,3,3,0
242,3,4,0
242,3,5,0
242,3,6,341961
253,0,0,0
253,0,1,0
253,0,2,0
253,0,3,0
253,0,4,0
253,0,5,0
253,0,6,0
253,1,0,0
253,1,1,0
253,1,2,0
253,1,3,0
253,1,4,0
253,1,5,0
253,1,6,0
253,2,0,0
253,2,1,0
253,2,2,0
253,2,3,0
253,2,4,0
253,2,5,0
253,2,6,0
253,3,0,0
253,3,1,0
253,3,2,0
253,3,3,0
253,3,4,0
253,3,5,0
253,3,6,0
263,0,0,0
263,0,1,0
263,0,2,0
263,0,3,0
263,0,4,0
263,0,5,0
263,0,6,0
263,1,0,0
263,1,1,0
263,1,2,0
263,1,3,0
263,1,4,0
263,1,5,0
263,1,6,0
263,2,0,0
263,2,1,0
263,2,2,0
263,2,3,0
263,2,4,0
263,2,5,0
263,2,6,0
263,3,0,0
263,3,1,0
263,3,2,0
263,3,3,0
263,3,4,0
263,3,5,0
263,3,6,0
274,0,0,0
274,0,1,0
274,0,2,0
274,0,3,0
274,0,4,0
274,0,5,0
274,0,6,0
274,1,0,0
274,1,1,0
274,1,2,0
274,1,3,0
274,1,4,0
274,1,5,0
274,1,6,0
274,2,0,0
274,2,1,0
274,2,2,0
274,2,3,0
274,2,4,0
274,2,5,0
274,2,6,0
274,3,0,0
274,3,1,0
274,3,2,0
274,3,3,0
274,3,4,0
274,3,5,0
274,3,6,0
285,0,0,0
285,0,1,0
285,0,2,0
285,0,3,0
285,0,4,178452590
285,0,5,0
285,0,6,0
285,1,0,0
285,1,1,0
285,1,2,0
285,1,3,0
285,1,4,356608223
285,1,5,0
285,1,6,0
285,2,0,0
285,2,1,0
285,2,2,0
285,2,3,0
285,2,4,178071955
285,2,5,0
285,2,6,0
285,3,0,0
285,3,1,0
285,3,2,0
285,3,3,0
285,3,4,178235231
285,3,5,0
285,3,6,0
298,0,0,0
298,0,1,0
298,0,2,0
298,0,3,0
298,0,4,180382935
298,0,5,0
298,0,6,0
298,1,0,0
298,1,1,0
298,1,2,0
298,1,3,0
298,1,4,180642470
298,1,5,0
298,1,6,0
298,2,0,0
298,2,1,0
298,2,2,0
298,2,3,0
298,2,4,180766211
298,2,5,0
298,2,6,0
298,3,0,0
298,3,1,0
298,3,2,0
298,3,3,0
298,3,4,181065469
298,3,5,0
298,3,6,0
310,0,0,0
310,0,1,0
310,0,2,0
310,0,3,0
310,0,4,178243664
310,0,5,0
310,0,6,0
310,1,0,0
310,1,1,0
310,1,2,0
310,1,3,0
310,1,4,178748198
310,1,5,0
310,1,6,0
310,2,0,0
310,2,1,0
310,2,2,0
310,2,3,0
310,2,4,179104708
310,2,5,0
310,2,6,0
310,3,0,0
310,3,1,0
310,3,2,0
310,3,3,0
310,3,4,179830147
310,3,5,0
310,3,6,0
